"","ACTIVITY_NR","SITE_STATE","CLOSE_CASE_DATE","RNUM"
"1","343631552","TX",2021-09-01,"1"
"2","344145297","AL",2021-09-01,"2"
"3","344225552","OR",2021-09-01,"3"
"4","344226972","OH",2021-09-01,"4"
"5","344290432","TX",2021-09-01,"5"
"6","344292016","OH",2021-09-01,"6"
"7","344353800","WA",2021-09-01,"7"
"8","344363395","KY",2021-09-01,"8"
"9","344466693","TX",2021-09-01,"9"
"10","344470695","MD",2021-09-01,"10"
"11","344485727","TX",2021-09-01,"11"
"12","344616685","CA",2021-09-01,"12"
"13","344617493","ID",2021-09-01,"13"
"14","344652953","NY",2021-09-01,"14"
"15","344697842","OH",2021-09-01,"15"
"16","344707658","TX",2021-09-01,"16"
"17","344753439","CA",2021-09-01,"17"
"18","344757661","WY",2021-09-01,"18"
"19","344840145","OH",2021-09-01,"19"
"20","344878707","TX",2021-09-01,"20"
"21","344879523","IA",2021-09-01,"21"
"22","344905732","IN",2021-09-01,"22"
"23","344931761","NM",2021-09-01,"23"
"24","344935796","MO",2021-09-01,"24"
"25","344942388","TX",2021-09-01,"25"
"26","344951124","ID",2021-09-01,"26"
"27","344983044","TX",2021-09-01,"27"
"28","345013411","ID",2021-09-01,"28"
"29","345030175","MI",2021-09-01,"29"
"30","345052815","TX",2021-09-01,"30"
"31","345073134","OK",2021-09-01,"31"
"32","345103659","NC",2021-09-01,"32"
"33","345112460","IN",2021-09-01,"33"
"34","345119499","OH",2021-09-01,"34"
"35","345120083","AK",2021-09-01,"35"
"36","345121255","CA",2021-09-01,"36"
"37","345124275","NC",2021-09-01,"37"
"38","345136113","NJ",2021-09-01,"38"
"39","345137459","IA",2021-09-01,"39"
"40","345160766","PA",2021-09-01,"40"
"41","345161293","CA",2021-09-01,"41"
"42","345164735","NC",2021-09-01,"42"
"43","345173199","NY",2021-09-01,"43"
"44","345175905","OK",2021-09-01,"44"
"45","345184576","CA",2021-09-01,"45"
"46","345187983","ID",2021-09-01,"46"
"47","345189195","NJ",2021-09-01,"47"
"48","345191076","OR",2021-09-01,"48"
"49","345192561","CA",2021-09-01,"49"
"50","345198014","NY",2021-09-01,"50"
"51","345198592","CA",2021-09-01,"51"
"52","345202816","CO",2021-09-01,"52"
"53","345206205","OR",2021-09-01,"53"
"54","345210355","CA",2021-09-01,"54"
"55","345217582","OR",2021-09-01,"55"
"56","345220933","MA",2021-09-01,"56"
"57","345220990","MA",2021-09-01,"57"
"58","345223143","OR",2021-09-01,"58"
"59","345224091","CA",2021-09-01,"59"
"60","345228373","NH",2021-09-01,"60"
"61","345233845","IA",2021-09-01,"61"
"62","345236129","MO",2021-09-01,"62"
"63","345239917","MO",2021-09-01,"63"
"64","345245757","NV",2021-09-01,"64"
"65","345247183","VA",2021-09-01,"65"
"66","345249916","IL",2021-09-01,"66"
"67","345251045","IA",2021-09-01,"67"
"68","345251896","TN",2021-09-01,"68"
"69","345256077","MO",2021-09-01,"69"
"70","345256432","OH",2021-09-01,"70"
"71","345256465","OH",2021-09-01,"71"
"72","345258974","IA",2021-09-01,"72"
"73","345260731","OR",2021-09-01,"73"
"74","345266993","TN",2021-09-01,"74"
"75","345268015","IL",2021-09-01,"75"
"76","345269450","OR",2021-09-01,"76"
"77","345269492","OR",2021-09-01,"77"
"78","345274021","OR",2021-09-01,"78"
"79","345280481","OH",2021-09-01,"79"
"80","345280978","WI",2021-09-01,"80"
"81","345283063","OR",2021-09-01,"81"
"82","345284707","AL",2021-09-01,"82"
"83","345285985","IA",2021-09-01,"83"
"84","345288369","PR",2021-09-01,"84"
"85","345288468","NJ",2021-09-01,"85"
"86","345289839","LA",2021-09-01,"86"
"87","345291355","MI",2021-09-01,"87"
"88","345292916","OR",2021-09-01,"88"
"89","345293708","TX",2021-09-01,"89"
"90","345299663","TX",2021-09-01,"90"
"91","345301535","TX",2021-09-01,"91"
"92","345302749","HI",2021-09-01,"92"
"93","345303069","AZ",2021-09-01,"93"
"94","345307607","NV",2021-09-01,"94"
"95","345309124","NC",2021-09-01,"95"
"96","345310395","MI",2021-09-01,"96"
"97","345314934","VA",2021-09-01,"97"
"98","345316343","CA",2021-09-01,"98"
"99","345316731","WA",2021-09-01,"99"
"100","345317846","MD",2021-09-01,"100"
"101","345319438","IL",2021-09-01,"101"
"102","345320774","AL",2021-09-01,"102"
"103","345321202","AL",2021-09-01,"103"
"104","345323976","MA",2021-09-01,"104"
"105","345325575","MI",2021-09-01,"105"
"106","345327498","NJ",2021-09-01,"106"
"107","345331045","MD",2021-09-01,"107"
"108","345333124","FL",2021-09-01,"108"
"109","345333470","LA",2021-09-01,"109"
"110","345335707","AL",2021-09-01,"110"
"111","345335731","TN",2021-09-01,"111"
"112","345335772","PR",2021-09-01,"112"
"113","345338792","NC",2021-09-01,"113"
